Company,TypeName,Ram,Weight,Touchscreen,IPS,PPI,cpu_name,HDD,SSD,gpu_brand,OpSystem
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Others
HP,Notebook,4,1.86,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others
Dell,Ultrabook,8,1.22,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others
Dell,2 in 1 Convertible,8,1.62,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
